Parent,Standard Name,Clause Number,Clause Title,Clause Description,Applicable,Applicability,Heading
6.1.4,DESC-ICS,6.1.4.5,Configuration Management,Ensures changes made to the ICS environment satisfy the cybersecurity requirements to address the risk level and overall provide the same or better degree of protection as the original equipment or configuration.,Yes,Company,No
6.1.4,DESC-ICS,6.1.4.6,Configuration Management,Establishes and ensures uniform application of minimum-security baseline configuration of ICS systems and components.,Yes,Company,No
6.1.4,DESC-ICS,6.1.4.7,Configuration Management,Establishes network and security configuration settings for the ICS systems in line with recommendations from corresponding System vendors. organization.,Yes,Company,No
6.1.4,DESC-ICS,6.1.4.8,Configuration Management,"Ensures periodic review and update of ICS security baselines for different ICS components upon identification of new risks, installation of new technology/components or changes to the ICS environment.",Yes,Company,No
6.1,DESC-ICS,6.1.5,Segregation of Duties,,Yes,Company,Yes
6.1.5,DESC-ICS,6.1.5.1,Segregation of Duties,"Segregates duties and responsibilities as necessary through distributing the tasks for a specific industrial operation / area among multiple users, in a manner to reduce errors, fraud and unauthorized modification or misuse of the organization’s ICS assets.",Yes,Company,No
6.1.5,DESC-ICS,6.1.5.2,Segregation of Duties,Enforces restriction of access control to the ICS by implementation of segregation of duties as a part of employee’s job role. Thereby curtailing ICS access on a need-to-know basis and enabling validation by different users prior to deployment of high-risk operations.,Yes,Company,No
6.1,DESC-ICS,6.1.6,Separation of Operational Facilities,,Yes,Company,Yes
6.1.6,DESC-ICS,6.1.6.1,Separation of Operational Facilities,"Segregates where necessary development, testing, production and processing facilities to mitigate the risk impacting the production systems from unauthorized intentional or unintentional access or change.",Yes,Company,No
6.1.6,DESC-ICS,6.1.6.2,Separation of Operational Facilities,Allocates secured computing environment for ICS sections performing critical operations.,Yes,Company,No
6.1.6,DESC-ICS,6.1.6.3,Separation of Operational Facilities,Ensures that the development tools and compilers are not accessible from ICS operator systems.,Yes,Company,No
6.1.6,DESC-ICS,6.1.6.4,Separation of Operational Facilities,Ensures sensitive ICS operational information is not forwarded into the test environment. Thereby restricting access of sensitive plant information only within the organization’s ICS.,Yes,Company,No
6.1,DESC-ICS,6.1.7,ICS Systems Deployment,,Yes,Company,Yes
6.1.7,DESC-ICS,6.1.7.1,ICS Systems Deployment,"Develop, distribute and maintain a documented policy and procedure for the acquisition, deployment and upgrade of ICS operation systems, addressing the organization’s requirements for ensuring security controls implementation and in line with organization’s baseline configuration requirements, prior to acceptance or deployment.",Yes,Company,No
6.1.7,DESC-ICS,6.1.7.2,ICS Systems Deployment,Defines and implements acceptance criteria for new ICS systems implementation and upgrades and enforcing documented certification and accreditation process outlining security requirements.,Yes,Company,No
6.1.7,DESC-ICS,6.1.7.3,ICS Systems Deployment,"Carries out suitable security testing of the ICS systems during development, prior to acceptance, deployment and ensures periodic testing.",Yes,Company,No
6,DESC-ICS,6.2,External Party Services Management,,Yes,Company,Yes
6.2,DESC-ICS,6.2.1,External Party Services Management,"Develops, and maintains a documented agreement with the external party service providers that addresses compliance with the organization’s Insecurity requirements in addition to the organization’s ICS security controls.",Yes,Company,No
6.2,DESC-ICS,6.2.2,External Party Services Management,"Places adequate measures to assure that security controls, services definitions and delivery levels agreed upon in the external party contractual agreements are implemented and followed by the external party.",Yes,Company,No
6.2,DESC-ICS,6.2.3,External Party Services Management,"Monitors, reviews and audits the services and all related deliverables provided by external party in a regular basis.",Yes,Company,No
6.2,DESC-ICS,6.2.4,External Party Services Management,Places adequate measures to manage and assess risks related to changes of the external party services. Examples of changes may include:,Yes,Company,No
6.2.4,DESC-ICS,6.2.4.a,External Party Services Management,Application of new or enhanced security controls.,Yes,Company,No
6.2.4,DESC-ICS,6.2.4.b,External Party Services Management,Updating organization’s policies/procedures.,Yes,Company,No
6.2.4,DESC-ICS,6.2.4.c,External Party Services Management,New technology or new vendor to be used.,Yes,Company,No
6.2,DESC-ICS,6.2.5,External Party Services Management,Identifies and nominates employees or internal service management teams to ascertain ownership for the management of external party services.,Yes,Company,No
6.2,DESC-ICS,6.2.6,External Party Services Management,Incorporates necessary controls for monitoring and reporting of identified security incidents by the third party in agreement contracts to facilitate timely resolution and mitigation of Cybersecurity risks to the ICS.,Yes,Company,No
6.2,DESC-ICS,6.2.7,External Party Services Management,Enforces mechanisms to periodically review adherence to contractual statements mentioned in agreements with third parties.,Yes,Company,No
6,DESC-ICS,6.3,Protection against Malicious Code,,Yes,Company,Yes
6.3,DESC-ICS,6.3.1,Protection against Malicious Code,"Develops, distributes and maintains a documented policy covering the requirements for prevention, detection and recovery controls against malicious codes.",Yes,Company,No
6.3,DESC-ICS,6.3.2,Protection against Malicious Code,Implements documented procedures to deal with malicious code reporting and recovery.,Yes,Company,No
6.3,DESC-ICS,6.3.3,Protection against Malicious Code,Conduct regular awareness across the organization on the importance of protecting the organization infrastructure from malicious code attacks.,Yes,Company,No
6.3,DESC-ICS,6.3.4,Protection against Malicious Code,"Implements organization wide system/software for the malicious code scanning, detection and repairing.",Yes,Company,No
6.3,DESC-ICS,6.3.5,Protection against Malicious Code,Anti-malware solutions should be updated on a regular basis with latest signature files.,Yes,Company,No
6.3,DESC-ICS,6.3.6,Protection against Malicious Code,"Performs periodic scans of all ICS systems and real-time scans of files from external sources as the files are downloaded, opened, or executed, as defined by the implemented policies.",Yes,Company,No
6.3,DESC-ICS,6.3.7,Protection against Malicious Code,Establishes and maintains appropriate informative communication channels to obtain latest details of new malicious code.,Yes,Company,No
6.3,DESC-ICS,6.3.8,Protection against Malicious Code,Develops and implements continuity plans/procedures for recovery from malicious code attacks.,Yes,Company,No
6.3,DESC-ICS,6.3.9,Protection against Malicious Code,Defines the acceptable and unacceptable mobile code technologies.,Yes,Company,No
6.3,DESC-ICS,6.3.10,Protection against Malicious Code,Establishes usage restrictions and implementation guides for the acceptable mobile code technologies.,Yes,Company,No
6.3,DESC-ICS,6.3.11,Protection against Malicious Code,"Enforces authorization, monitoring and control over the use of mobile code technologies.",Yes,Company,No
6.3,DESC-ICS,6.3.12,Protection against Malicious Code,"Enforces restrictions on usage of mobile code (like flash & VB scripts, Java, Active x components, Flash, etc.) within the Control System network. Thereby effectively preventing execution of mobile code, restricting transfer of mobile code to ICS and vice versa and monitoring use of mobile code within the operation environment.",Yes,Company,No
6.3,DESC-ICS,6.3.13,Protection against Malicious Code,Enables mechanisms to validate the mobile code integrity prior to execution in the ICS environment.,Yes,Company,No
6.3,DESC-ICS,6.3.14,Protection against Malicious Code,Enables malicious code protection mechanisms at all entry and exit points of the ICS environment.,Yes,Company,No
6.3,DESC-ICS,6.3.15,Protection against Malicious Code,"Wherever feasible, the organization ensures central management controls for protection against malicious code.",Yes,Company,No
6.3.,DESC-ICS,6.3.16,Protection against Malicious Code,Ensures updated malicious code definition files are not directly pushed from the Internet to the ICS systems. Enables manual update mechanism for smaller non-critical ICS systems and centralized mechanisms for updating larger critical ICS systems.,Yes,Company,No
6,DESC-ICS,6.4,Network Security,,Yes,Company,Yes
6.4,DESC-ICS,6.4.1,Network Security,"Implements documented process for its ICS network services to govern the interconnections between its network, critical owned business ICS systems and other networks and information systems outside its formal boundaries, outlining the roles and responsibilities of securing the connections and all other requisite issues such as duration of connection, ports, users’ access, etc.",Yes,Company,No
6.4,DESC-ICS,6.4.2,Network Security,"Develops and implements network service agreements and ensures that all required security controls, service levels, and management requirements are included in such agreements.",Yes,Company,No
6.4,DESC-ICS,6.4.3,Network Security,"Enables clock synchronization on all networking devices with agreed reference such as Universal Coordinated Time (UTC) to facilitate forensic analysis, and continuously monitor its accuracy.",Yes,Company,No
6.4,DESC-ICS,6.4.4,Network Security,Monitors the information system connections continuously and always verifies enforcement of security requirements.,Yes,Company,No
6.4,DESC-ICS,6.4.5,Network Security,Implements secure network routing controls.,Yes,Company,No
6.4,DESC-ICS,6.4.6,Network Security,"Implements adequate protection level for the confidentiality, integrity and availability of transmitted information and, prevent unauthorized access to information or data in transit (whether within organization or to external network).",Yes,Company,No
6.4,DESC-ICS,6.4.7,Network Security,Terminates network connections associated with communication sessions as per the organization defined period of inactivity.,Yes,Company,No
6.4,DESC-ICS,6.4.8,Network Security,Implement measures to ensure adequate/high level of network availability.,Yes,Company,No
6.4,DESC-ICS,6.4.9,Network Security,"Configures the network traffic devices on a need basis, as the general rule of thumb is ‹deny-all› otherwise justify, with maintaining logs of all changes asper the organization’s change management policy.",Yes,Company,No
6.4,DESC-ICS,6.4.10,Network Security,"Develops and maintains full documentation of the network devices, connections, and IP configuration while ensuring highest security protection and controls on the documents.",Yes,Company,No
6.4,DESC-ICS,6.4.11,Network Security,Applies appropriate logging and monitoring procedures to enable recording of network security activities.,Yes,Company,No
6.4,DESC-ICS,6.4.12,Network Security,"Ensures logical separation of IT and ICS networks by means of physical isolation or Firewalls. Also, ensures segmentation of critical ICS networks from other ICS networks to better contain potential cyber threats to the ICS.",Yes,Company,No
6.4,DESC-ICS,6.4.13,Network Security,Enables network services to ICS environment without establishing connections to the organization’s IT environment.,Yes,Company,No
6.4,DESC-ICS,6.4.14,Network Security,Ensures monitoring and control of communications within ICS zone boundaries to analyze network traffic and ascertain control upon identification of malicious traffic.,Yes,Company,No
6.4,DESC-ICS,6.4.15,Network Security,Enables islanding of organization’s ICS communication network upon occurrence of incidents and ensures deployment of fail close mechanisms upon failure of ICS boundary protection systems.,Yes,Company,No
6.4,DESC-ICS,6.4.16,Network Security,Enables provisions for operation of ICS in degraded mode upon the occurrence of a DoS (Denial of Service) incident.,Yes,Company,No
6.4,DESC-ICS,6.4.17,Network Security,Enables necessary DoS prevention controls to manage ICS communication loads and limit DoS effects within ICS network compartments.,Yes,Company,No
6.4,DESC-ICS,6.4.18,Network Security,"Provisions capability to restrict/prohibit use of unnecessary services, ports and protocols.",Yes,Company,No
6,DESC-ICS,6.5,Information Exchange Management,,Yes,Company,Yes
6.5,DESC-ICS,6.5.1,Information Exchange,,Yes,Company,Yes
6.5.1,DESC-ICS,6.5.1.1,Information Exchange,"Develops, distributes and maintains documented policy and procedures governing the exchange of ICS information internally in the organization, or externally with outside entities, in all types of communication channels, based on the criticality of information and in line with relevant laws and regulations.",Yes,Company,No
6.5.1,DESC-ICS,6.5.1.2,Information Exchange,Develops and maintains documented ICS information exchange agreements that cover the protection and non-disclosure requirements for the exchange of any government related information between the organization and any external party.,Yes,Company,No
6.5.1,DESC-ICS,6.5.1.3,Information Exchange,"Applies adequate security controls on top of the process of exchanging information, specifically for transmitted physical media containing information such as labelling, liability, etc.",Yes,Company,No
6.5.1,DESC-ICS,6.5.1.4,Information Exchange,Enforces restrictions on person-to-person communication channels connecting ICS and IT environments.,Yes,Company,No
6.5.1,DESC-ICS,6.5.1.5,Information Exchange,"Implements mechanisms to secure exchanged information from interception, misrouting, modification etc.",Yes,Company,No
6.5.1,DESC-ICS,6.5.1.6,Information Exchange,Enables mechanisms for detection and protection from malicious code that might be transmitted over electronic media.,Yes,Company,No
6.5.1,DESC-ICS,6.5.1.7,Information Exchange,"Ensures provision of awareness trainings to employees on the secure utility, storage and exchange of information and specifies responsibilities of information users towards safeguarding the confidentiality and integrity of the information.",Yes,Company,No
6,DESC-ICS,6.6,Media Handling Management,,Yes,Company,Yes
6.6,DESC-ICS,6.6.1,Media Handling Management,"Develops and distributes a Media Handling policy specific to the ICS environment to prevent unauthorized disclosure, modification or destruction of ICS assets.",Yes,Company,No
6.6,DESC-ICS,6.6.2,Media Handling Management,"Implements adequate security and protection procedures for any type of media containing information, in terms of handling, storage, disposal etc.",Yes,Company,No
6.6,DESC-ICS,6.6.3,Media Handling Management,Enforces storage of removable media in a secure manner in line with storage instructions provided by the manufacturer.,Yes,Company,No
6.6,DESC-ICS,6.6.4,Media Handling Management,Enables documented procedures for the secure and safe disposal of media when no longer required. Thereby safeguarding the confidentiality of critical/sensitive ICS information.,Yes,Company,No
6.6,DESC-ICS,6.6.5,Media Handling Management,Implements labelling/classification of ICS information types to ensure adequate deployment of security controls for corresponding ICS information.,Yes,Company,No
6,DESC-ICS,6.7,Monitoring and Logs Management,,Yes,Company,Yes
6.7,DESC-ICS,6.7.1,Monitoring and Logs Management,"Enables audits logs for all ICS information processing systems/ applications, and periodically reviews such logs and ensures applying adequate retention measures over them.",Yes,Company,No
6.7,DESC-ICS,6.7.2,Monitoring and Logs Management,Sets adequate monitoring requirements for all ICS systems/ applications based on criticality of the systems.,Yes,Company,No
6.7,DESC-ICS,6.7.3,Monitoring and Logs Management,"Logs system administrators and operators’ activities and ensures reviewing them periodically, by an independent unit.",Yes,Company,No
6.7,DESC-ICS,6.7.4,Monitoring and Logs Management,"Enables faults logging on all system levels including network, applications, servers and databases among others.",Yes,Company,No
6.7,DESC-ICS,6.7.5,Monitoring and Logs Management,Deploys adequate logs analysis mechanism and places appropriate actions on faults.,Yes,Company,No
6.7,DESC-ICS,6.7.6,Monitoring and Logs Management,"Secures, where appropriate, logging systems and log files against unauthorized changes including alterations, deletions, and renaming of logfile contents, dates and time stamps.",Yes,Company,No
6.7,DESC-ICS,6.7.7,Monitoring and Logs Management,"Sets an appropriate lifetime for maintaining the logging information, as per the business needs and criticality of information.",Yes,Company,No
6.7,DESC-ICS,6.7.8,Monitoring and Logs Management,Enables clock synchronization over all information processing systems/applications with accurate time source. Wherever applicable the organization ensures generating an audit event upon alteration of time source.,Yes,Company,No
6.7,DESC-ICS,6.7.9,Monitoring and Logs Management,"Ensures logging of events for necessary ICS operations and security functions. The logs contain necessary information such as timestamps, source, event ID, type, category etc.",Yes,Company,No
6.7,DESC-ICS,6.7.10,Monitoring and Logs Management,"Wherever feasible, the organization enables centrally managed audit logs compiled from multiple sources across the ICS, enabling comprehensive visibility of the ICS environment.",Yes,Company,No
6.7,DESC-ICS,6.7.11,Monitoring and Logs Management,Provisions storage capacity for the recording of ICS system audit logs based on defined storage requirements calculated considering likelihood of event occurrence.,Yes,Company,No
6.7,DESC-ICS,6.7.12,Monitoring and Logs Management,"Enables mechanisms to protect the integrity of Audit logs from modification, deletion or unauthorized access.",Yes,Company,No
,DESC-ICS,7,Business Continuity Planning,,Yes,Company,Yes
7,DESC-ICS,7.1,Business Continuity Planning Policy and Procedures,,Yes,Company,Yes
7.1,DESC-ICS,7.1.1,Business Continuity Planning Policy and Procedures,"Develops and distributes a Business Continuity Policy and Procedure incorporating employee roles and responsibilities, operational guidelines, necessary actions and mitigation methodologies for ensuring continuity of the organization’s ICS environment.",Yes,Company,No
7.1,DESC-ICS,7.1.2,Business Continuity Planning Policy and Procedures,"Enables mechanisms to conduct periodic reviews and updates to the Business continuity planning framework in line with the business requirements, Changes to ICS systems, processes, current ICS trends and risks.",Yes,Company,No
7,DESC-ICS,7.2,Business Impact Analysis,,Yes,Company,Yes
7.2,DESC-ICS,7.2.1,Business Impact Analysis,Develops and periodically conducts a business impact analysis for all critical business processes and ICS systems to define and determine the impact of potential operational failures.,Yes,Company,No
7.2,DESC-ICS,7.2.2,Business Impact Analysis,"Sets and accounts the responsibility of the Business Impact Analysis to the senior management, with involvement from all related divisions.",Yes,Company,No
7.2,DESC-ICS,7.2.3,Business Impact Analysis,"Identifies, documents and periodically reviews operational incidents that adversely affect the ICS systems and components.",Yes,Company,No
7.2,DESC-ICS,7.2.4,Business Impact Analysis,Derives probability and impact of identified operational incidents on the ICS security and overall business process of the organization.,Yes,Company,No
7,DESC-ICS,7.3,Business Continuity Plan,,Yes,Company,Yes
7.3,DESC-ICS,7.3.1,Business Continuity Plan,"Organizes and accounts responsible a committee of senior management and business owners for the business continuity plan, with defined and clear responsibilities.",Yes,Company,No
7.3,DESC-ICS,7.3.2,Business Continuity Plan,"Develops, maintains, periodically tests and reassesses a business continuity plan that covers the following.",Yes,Company,No
7.3,DESC-ICS,7.3.3,Business Continuity Plan,The plan should be based on the Business Impact Analysis and Risk Assessment.,Yes,Company,No
7.3,DESC-ICS,7.3.4,Business Continuity Plan,"The plan should address requirements for resilience, alternative processing and recovery capability of all critical business and ICS services.",Yes,Company,No
7.3,DESC-ICS,7.3.5,Business Continuity Plan,"The plan should cover usage guidelines, roles and responsibilities, procedures communication processes, and the testing approach.",Yes,Company,No
7.3,DESC-ICS,7.3.6,Business Continuity Plan,Organization Designs a business continuity process in a manner to reduce the impact of a major disruption on key ICS processes.,Yes,Company,No
7.3,DESC-ICS,7.3.7,Business Continuity Plan,Ensures inclusion of ICS Cybersecurity procedures to recover from a disaster or outage within the organization’s overall Business Continuity plan.,Yes,Company,No
7.3,DESC-ICS,7.3.8,Business Continuity Plan,"Ensures adequate coverage of all applicable ICS system entities such as PLCs, DCSs, HMIs, SCADA applications, Operator and Engineering stations, SCADA servers etc. in the Business continuity plan such that designed recovery strategy is comprehensive and applicable.",Yes,Company,No
7.3,DESC-ICS,7.3.9,Business Continuity Plan,Appoints and educates designated personnel for the appropriate execution of the ICS system recovery by means of developing Business continuity procedures.,Yes,Company,No
7.3,DESC-ICS,7.3.10,Business Continuity Plan,Identifies critical business needs associated with the ICS and defines recovery objectives to be incorporated in Business Continuity Plan.,Yes,Company,No
7.3,DESC-ICS,7.3.11,Business Continuity Plan,Develops and assesses a list of potential disruption scenarios applicable to the organization’s ICS environment to support with the designing of recovery procedures.,Yes,Company,No
7.3,DESC-ICS,7.3.12,Business Continuity Plan,Enables approval mechanism for acceptance of designed Business Continuity Plan from appropriate stakeholders within the Organization.,Yes,Company,No
7.3,DESC-ICS,7.3.13,Business Continuity Plan,"Enables mechanisms to update the Business Continuity Plan accounting for changes in operational environment, new threats to the ICS operation and changes in business requirements.",Yes,Company,No
7.3,DESC-ICS,7.3.14,Business Continuity Plan,"Trains relevant employees on their Business continuity roles and responsibilities. Thereby, enabling a quick and suitable action upon the occurrence of an ICS security incident.",Yes,Company,No
7,DESC-ICS,7.4,Disaster Recovery,,Yes,Company,Yes
7.4,DESC-ICS,7.4.1,Disaster Recovery,Identifies the most critical ICS systems and applications in accordance with the risk assessment conducted by the organization.,Yes,Company,No
7.4,DESC-ICS,7.4.2,Disaster Recovery,"Deploys a recovery plan for the identified critical business systems, as the organization's operations specify.",Yes,Company,No
7.4,DESC-ICS,7.4.3,Disaster Recovery,Determines the type of recovery scheme that is applicable for its requirement.,Yes,Company,No
7.4,DESC-ICS,7.4.4,Disaster Recovery,Exercises and periodically tests the decided recovery plan.,Yes,Company,No
7.4,DESC-ICS,7.4.5,Disaster Recovery,Establishes a Disaster recovery site based on risk assessment and a business impact analysis to help the entity recover business systems that are critical to operations.,Yes,Company,No
7.4,DESC-ICS,7.4.6,Disaster Recovery,Assigns Disaster Recovery roles and responsibilities to appropriate employees and ensures provision of necessary training and resources.,Yes,Company,No
7.4,DESC-ICS,7.4.7,Disaster Recovery,"Records and stores necessary ICS information such as: Physical and logical access lists to the ICS, Updated ICS network schema and ICS component configuration information.",Yes,Company,No
7,DESC-ICS,7.5,Backup and Storage Strategies,,Yes,Company,Yes
7.5,DESC-ICS,7.5.1,Backup and Storage Policy and Procedure,"Develops, distributes and maintains a documented backup, storage and retention policy that includes:",Yes,Company,Yes
7.5.1,DESC-ICS,7.5.1.a,Backup and Storage Policy and Procedure,Users’ responsibilities.,Yes,Company,No
7.5.1,DESC-ICS,7.5.1.b,Backup and Storage Policy and Procedure,Requirements for backup and recovery systems.,Yes,Company,No
7.5.1,DESC-ICS,7.5.1.c,Backup and Storage Policy and Procedure,Backup protection controls.,Yes,Company,No
7.5.1,DESC-ICS,7.5.1.d,Backup and Storage Policy and Procedure,"Legal and business requirements (e.g. recovery point objective, recovery time objective, etc.).",Yes,Company,No
7.5.1,DESC-ICS,7.5.1.2,Backup and Storage Policy and Procedure,"Supplements, as necessary, the backup policy with a detailed procedure for backup and storage specifications and implements them.",Yes,Company,No
7.5.1,DESC-ICS,7.5.1.3,Backup and Storage Policy and Procedure,"Defines ICS backup restoration speed and frequency requirements. Thereby, enabling backup systems acquisition strategy to support with the organization’s recovery objectives.",Yes,Company,No
7.5,DESC-ICS,7.5.2,Media Library and Resources Protection,,Yes,Company,Yes
7.5.2,DESC-ICS,7.5.2.1,Media Library and Resources Protection,"Develops, distributes and maintains a documented policy and procedure on media library protection.",Yes,Company,No
7.5.2,DESC-ICS,7.5.2.2,Media Library and Resources Protection,Restricts and continuously monitors access to media libraries and storage resources.,Yes,Company,No
7.5.2,DESC-ICS,7.5.2.3,Media Library and Resources Protection,"Marks clearly all media and storage resources, indicating distribution lists, handling controls, and the application asset’s security classification as per the assets classification policy.",Yes,Company,No
7.5.2,DESC-ICS,7.5.2.4,Media Library and Resources Protection,"Allocates locations, with adequate security and environmental measures and controls for the storage of the backup media, whether on-site/ offsite, as the organization specifies.",Yes,Company,No
7.5.2,DESC-ICS,7.5.2.5,Media Library and Resources Protection,Sets security agreements and security protection controls in case an external party is involved in handling the media library for the organization.,Yes,Company,No
7.5.2,DESC-ICS,7.5.2.6,Media Library and Resources Protection,Protects and controls all physical media while being in a transit process.,Yes,Company,No
7.5.2,DESC-ICS,7.5.2.7,Media Library and Resources Protection,Encrypts backups and archives where technically feasible and appropriate.,Yes,Company,No
7.5.2,DESC-ICS,7.5.2.8,Media Library and Resources Protection,Maintains accountability for media in transit outside the organization control areas and restricts to authorized personnel.,Yes,Company,No
7.5.2,DESC-ICS,7.5.2.9,Media Library and Resources Protection,Wipes and sanitizes all backup media prior to disposal or reuse.,Yes,Company,No
7.5,DESC-ICS,7.5.3,Backup Testing Restoration,,Yes,Company,Yes
7.5.3,DESC-ICS,7.5.3.1,Backup Testing Restoration,Plans and executes a periodic testing and restoration process of all backup and storage media.,Yes,Company,No
7.5.3,DESC-ICS,7.5.3.2,Backup Testing Restoration,Ensures the restoration and recovery of the ICS to a known secure state of operation after an operational failure or disruption thereby enabling complete system functionality with known security assurance.,Yes,Company,No
7.5,DESC-ICS,7.5.4,Control System Backup,,Yes,Company,Yes
7.5.4,DESC-ICS,7.5.4.1,Control System Backup,Ensures deployment of mechanisms to conduct backups of user-level and System-level information within the ICS without disruption of regular operations.,Yes,Company,No
7.5.4,DESC-ICS,7.5.4.2,Control System Backup,Enables automated backup mechanisms for obtaining specified backup information from the ICS on a pre-defined frequency.,Yes,Company,No
7,DESC-ICS,7.6,Business Continuity Plan (BCP) Test and Review,,Yes,Company,Yes
7.6,DESC-ICS,7.6.1,Business Continuity Plan (BCP) Test and Review,"Maintains, exercises and tests in a periodic manner the Business Continuity Plan, Business Impact Analysis, Backup and Restoration, and Disaster Recovery Plan.",Yes,Company,No
7.6,DESC-ICS,7.6.2,Business Continuity Plan (BCP) Test and Review,"Reviews and tests defined Business continuity procedures to ensure adequate mitigation of risks within the ICS environment in line with changes in ICS systems, business requirements and current ICS risks.",Yes,Company,No
,DESC-ICS,8,"ICS Systems Acquisition, Development and Management",,Yes,Company,Yes
8,DESC-ICS,8.1,"ICS System Acquisition, Development and Management",,Yes,Company,Yes
8.1,DESC-ICS,8.1.1,"ICS Systems Acquisition, Development and Management Policy and Procedure",,Yes,Company,Yes
8.1.1,DESC-ICS,8.1.1.1,"ICS Systems Acquisition, Development and Management Policy and Procedure","Develops, distributes and maintains a documented policy and procedures for addressing the organization’s requirements for ensuring the security on any in house developed or external party applications regarding the Acquisition, Development and Management of ICS systems, including mobile applications.",Yes,Company,No
8.1.1,DESC-ICS,8.1.1.2,"ICS Systems Acquisition, Development and Management Policy and Procedure","Enables mechanisms for periodically reviewing the ICS Systems Acquisition, Development and Management policy and procedures to ensure coverage of current Information security risks, changes within organization's ICS environment and business requirements.",Yes,Company,No
8.1,DESC-ICS,8.1.2,ICS Application Security,,Yes,Company,Yes
8.1.2,DESC-ICS,8.1.2.1,ICS Application Security,"Develops an Application or Software Development Life Cycle (SDLC)methodology incorporating adequate security controls at all phases of the software development life cycle, while considering the defined security requirements (e.g. functional, technical, assurance etc.) at each software development stage.",Yes,Company,No
8.1.2,DESC-ICS,8.1.2.2,ICS Application Security,"Defines, distributes and maintains a documented procedure for secure deployment, distribution, provisioning and decommissioning of portable computing device applications, application interfaces (APIs) (including third party components), through regular updates / checks to ensure adequate level of security.",Yes,Company,No
8.1.2,DESC-ICS,8.1.2.3,ICS Application Security,Ensures ICS applications are enabled with adequate security controls around input data validation such as:,Yes,Company,No
8.1.2.3,DESC-ICS,8.1.2.3.a,ICS Application Security,"Validation of input data to applications such as out of range value checks, missing information check, unauthorized/incorrect data check etc.",Yes,Company,No
8.1.2.3,DESC-ICS,8.1.2.3.b,ICS Application Security,Review of hard copy data sheets for validating integrity of input information.,Yes,Company,No
8.1.2.3,DESC-ICS,8.1.2.3.c,ICS Application Security,Identifying select stakeholders for the data input process and ascertaining responsibility for input of data.,Yes,Company,No
8.1.2,DESC-ICS,8.1.2.4,ICS Application Security,Incorporates internal application processing checks for safeguarding against corruption of application information.,Yes,Company,No
8.1.2,DESC-ICS,8.1.2.5,ICS Application Security,Ensures protection of ICS application information integrity by deploying technical controls to enforce security of information at rest and transit such as cryptography.,Yes,Company,No
8.1.2,DESC-ICS,8.1.2.6,ICS Application Security,Ensures ICS applications are enabled with adequate security controls around output data validation such as:,Yes,Company,No
8.1.2.6,DESC-ICS,8.1.2.6.a,ICS Application Security,"Validation checks for ensuring accuracy, completeness and classification of output information.",Yes,Company,No
8.1.2.6,DESC-ICS,8.1.2.6.b,ICS Application Security,Identifying select stakeholders for validating the data output process.,Yes,Company,No
8.1,DESC-ICS,8.1.3,ICS system operational requirements,,Yes,Company,Yes
8.1.3,DESC-ICS,8.1.3.1,ICS system operational requirements,Dubai Government Organization.,Yes,Company,No
8.1.3,DESC-ICS,8.1.3.2,ICS system operational requirements,Enables pre-determined output production upon the failure to operate the organization’s ICS environment in normal conditions.,Yes,Company,No
8.1.3,DESC-ICS,8.1.3.3,ICS system operational requirements,"Ensures integrity of monitoring and control sessions between field devices, process network and operator and Engineering stations.",Yes,Company,No
8.1.3,DESC-ICS,8.1.3.4,ICS system operational requirements,"Enforces necessary security controls relating to invalidation of user sessions upon termination/logout of sessions, generation of unique session IDs and random generation session IDs for each session.",Yes,Company,No
8,DESC-ICS,8.2,ICS Security Requirements and Specifications,,Yes,Company,Yes
8.2,DESC-ICS,8.2.1,ICS Security Requirements and Specifications,"Defines and documents ICS security requirements in all business cases, requests for proposals and work requests, related to acquisitioned or in house developed ICS systems, to ensure integrating adequate security controls and minimize any cost related to security, and enough resources are allocated to implement these controls.",Yes,Company,No
8.2,DESC-ICS,8.2.2,ICS Security Requirements and Specifications,"Ensures enough coverage of ICS systems and components for application of ICS security such as ICS applications, operating systems, SCADA servers, SCADA systems, PLCs, DCSs, Engineering and Operating stations etc.",Yes,Company,No
8.2,DESC-ICS,8.2.3,ICS Security Requirements and Specifications,"Develops and approves the ICS systems design documents addressing the security requirements covering all the relevant platforms (e.g. operating systems, browsers, portable computing devices, etc.).",Yes,Company,No
8.2,DESC-ICS,8.2.4,ICS Security Requirements and Specifications,Secure coding standards are used for ICS system software and ICS application development.,Yes,Company,No
8.2,DESC-ICS,8.2.5,ICS Security Requirements and Specifications,"Designs the security architecture for the development & deployment of ICS systems including network security, transmission security etc.",Yes,Company,No
8.2,DESC-ICS,8.2.6,ICS Security Requirements and Specifications,"Implements adequate configuration management process during information systems design, development, implementation and operation.",Yes,Company,No
8.2,DESC-ICS,8.2.7,ICS Security Requirements and Specifications,Performs necessary FAT/SAT security tests on ICS components prior to installation and employs measures to perform security tests during regular plant operation in line with business risk and operational constraints.,Yes,Company,No
8.2,DESC-ICS,8.2.8,ICS Security Requirements and Specifications,Involves necessary control system vendors/system integrators for testing designed security controls.,Yes,Company,No
8.2,DESC-ICS,8.2.9,ICS Security Requirements and Specifications,"Enables application, services and data partitioning for critical functions within the ICS environment. Thereby ensuring operational independence and isolated security.",Yes,Company,No
